"","TAZ12","fueling","year"
"1",109,40000,2045
"2",116,4843.59236847881,2045
"3",122,7363.96550318118,2045
"4",127,25615.501025075,2045
"5",129,20000,2045
"6",130,500,2045
"7",137,20000,2045
"8",139,80000,2045
"9",150,20000,2045
"10",152,80000,2045
"11",156,20000,2045
"12",157,20000,2045
"13",158,1500,2045
"14",161,10761.3684076378,2045
"15",162,20000,2045
"16",163,393.820426051456,2045
"17",164,20000,2045
"18",166,20000,2045
"19",169,51143.6586385702,2045
"20",170,4461.53635702746,2045
"21",171,112.858539532672,2045
"22",172,203.551383004949,2045
"23",219,16331.3581885496,2045
"24",226,14274.6493906308,2045
"25",227,500,2045
"26",228,1500,2045
"27",233,2826.77318274672,2045
"28",235,407.298788975,2045
"29",242,1079.64669058783,2045
"30",244,2824.69696401166,2045
"31",246,706.909482955079,2045
"32",247,581.118573362593,2045
"33",248,750,2045
"34",251,3273.55996837183,2045
"35",256,1460.79349337006,2045
"36",257,453.591242716297,2045
"37",258,1000,2045
"38",262,40000,2045
"39",263,40000,2045
"40",268,20000,2045
"41",273,11479.2499702603,2045
"42",274,6070.12064604655,2045
"43",276,750,2045
"44",277,20000,2045
"45",278,10121.5637901828,2045
"46",280,4915.790890092,2045
"47",286,6262.2952587157,2045
"48",308,60000,2045
"49",309,10263.0261458458,2045
"50",313,40000,2045
"51",327,20000,2045
"52",329,20000,2045
"53",330,10000,2045
"54",331,1500,2045
"55",335,20000,2045
"56",346,15595.8419496479,2045
"57",403,77391.6345021409,2045
"58",407,17719.9758056701,2045
"59",414,20000,2045
"60",420,575.462893505621,2045
"61",425,20000,2045
"62",426,20000,2045
"63",429,34879.079582469,2045
"64",434,40000,2045
"65",446,20000,2045
"66",448,18879.3137103611,2045
"67",457,20000,2045
"68",458,20000,2045
"69",459,20000.000000001,2045
"70",500,20000,2045
"71",506,40000,2045
"72",534,7716.83061301288,2045
"73",546,20000,2045
"74",679,40000,2045
"75",705,20000,2045
"76",715,18202.8523641333,2045
"77",740,50977.7297329387,2045
"78",742,20000,2045
"79",766,20000,2045
"80",800,16228.2547622494,2045
"81",801,20000,2045
"82",803,911.897645501139,2045
"83",817,20000,2045
"84",818,4976.70342196275,2045
"85",819,20000,2045
"86",829,17075.9029204391,2045
"87",858,40000,2045
"88",877,20000,2045
"89",887,3000,2045
"90",888,15000,2045
"91",895,20000,2045
"92",906,7264.62914879661,2045
"93",935,20000,2045
"94",983,20000,2045
"95",1161,20000,2045
"96",1210,20000,2045
"97",1222,1267.53209526143,2045
"98",1225,20000,2045
"99",1227,20000,2045
"100",1283,40000,2045
"101",1302,36247.6859493769,2045
"102",1314,19405.8436322308,2045
"103",1319,20000,2045
"104",1352,10656.3021678001,2045
"105",1365,40000,2045
"106",1379,20000,2045
"107",1480,32015.288307298,2045
"108",1513,16282.3996175337,2045
"109",1551,20000,2045
"110",1572,20000,2045
"111",1576,16052.9300521533,2045
"112",1584,20000,2045
"113",1586,20000,2045
"114",1634,18379.6505500073,2045
"115",1638,9515.7159794445,2045
"116",1665,20000,2045
"117",1672,40000,2045
"118",1686,20000,2045
"119",1698,20000,2045
"120",1702,20000,2045
"121",1734,20000,2045
"122",1786,20000,2045
"123",1790,15563.103467027,2045
"124",1796,20000,2045
"125",1850,27254.5762579237,2045
"126",1908,11470.5423593735,2045
"127",1933,3341.4576132025,2045
"128",1934,20000,2045
"129",1944,20000,2045
"130",2003,120000,2045
"131",2103,19119.6919165047,2045
"132",2112,20000,2045
"133",2114,20000,2045
"134",2119,20000,2045
"135",2121,20000,2045
"136",2124,20000,2045
"137",2125,20000,2045
"138",2127,20000,2045
"139",2129,160000,2045
"140",2133,20000,2045
"141",2138,19777.2027359577,2045
"142",2208,17246.1193804554,2045
"143",2210,40000,2045
"144",2212,160000,2045
"145",2215,20000,2045
"146",2217,20000,2045
"147",2222,20000,2045
"148",2224,20000,2045
"149",2227,20000,2045
"150",2230,20000,2045
"151",2239,20000,2045
"152",2247,20000,2045
"153",2252,20000,2045
"154",2305,20000,2045
"155",2306,20000,2045
"156",2310,40000,2045
"157",2311,20000,2045
"158",2313,37521.5671783132,2045
"159",2315,20000,2045
"160",2318,5830.38816851292,2045
"161",2320,20000,2045
"162",2323,17218.1651697348,2045
"163",2324,40000,2045
"164",2330,20000,2045
"165",2331,15000,2045
"166",2478,40000,2045
"167",2489,20000,2045
"168",2501,1000,2045
"169",2507,5000,2045
"170",2509,20000,2045
"171",2518,20000,2045
"172",2520,500,2045
"173",2522,3000,2045
"174",2525,20000,2045
"175",2529,40000,2045
"176",2530,971.171119859904,2045
"177",2532,11048.1296724474,2045
"178",2545,16302.1696395598,2045
"179",2551,7293.45633826044,2045
"180",2566,18919.2001428168,2045
"181",2572,29036.3267978526,2045
"182",2574,20000,2045
"183",2602,1174.42916053933,2045
"184",2603,500,2045
"185",2605,10000,2045
"186",2713,15000,2045
"187",2714,1500,2045
"188",2726,15159.7617020782,2045
"189",2739,5172.44498217522,2045
"190",2742,3000.000000001,2045
"191",2743,15000,2045
"192",2772,1500,2045
"193",2784,18864.0878963656,2045
"194",2795,20000,2045
"195",2824,2e+05,2045
"196",2828,20000,2045
"197",2836,20000,2045
"198",2886,20000,2045
"199",2892,8664.94051238622,2045
"200",2893,20000,2045
"201",2900,60000,2045
"202",2904,1500,2045
"203",2912,20000,2045
"204",2914,15000,2045
"205",2915,999.999999999997,2045
"206",2916,19817.2430943472,2045
"207",2918,15000,2045
"208",2923,4728.39538088995,2045
"209",2931,19622.0194370765,2045
"210",2934,500,2045
"211",2935,16606.8146562213,2045
"212",2947,15000,2045
"213",2949,14430.0493631776,2045
"214",3000,8942.96672081232,2045
"215",3004,11777.3320561757,2045
"216",3008,1500,2045
"217",3010,3000,2045
"218",3012,15000,2045
"219",3013,3000,2045
"220",3014,1500,2045
"221",3018,1403.55863453917,2045
"222",3019,1500,2045
"223",3020,4337.45220574124,2045
"224",3021,801.613247164689,2045
"225",3022,463.833410509399,2045
"226",3029,1383.7834302968,2045
"227",3030,1000,2045
"228",3034,470.497726950882,2045
"229",3100,3000,2045
"230",3101,17217.1798481529,2045
"231",3108,18645.0923793597,2045
"232",3121,20000,2045
"233",3137,20000,2045
"234",3211,15000,2045
"235",3216,20000,2045
"236",3217,20000,2045
"237",3252,11438.4721106659,2045
"238",3301,9692.8097682713,2045
"239",3303,5000,2045
"240",3317,5000,2045
"241",3324,8006.67248839867,2045
"242",3362,1439.27114870183,2045
"243",3363,10000,2045
"244",3364,7500,2045
"245",3385,9966.99681436474,2045
"246",3400,20000,2045
"247",3410,18749.0502695423,2045
"248",3433,15288.1327770511,2045
"249",3437,20000,2045
"250",3452,20000,2045
"251",3501,20000,2045
"252",3601,20000,2045
"253",3602,20000,2045
"254",3619,20000,2045
"255",3627,11726.4648184141,2045
"256",3628,11660.5229409439,2045
"257",3629,4189.31427037778,2045
"258",3645,18051.7018189605,2045
"259",3678,20000,2045
"260",3681,13557.95284169,2045
"261",3692,60000,2045
"262",3699,20000,2045
"263",3725,40000,2045
"264",3802,60455.7616626125,2045
"265",3811,55008.9436944361,2045
"266",3822,13264.647568082,2045
"267",3987,140000,2045
"268",3990,74967.3531004595,2045
"269",4023,80000,2045
"270",4177,20000,2045
"271",4195,40000,2045
"272",4220,20000,2045
"273",4277,140000,2045
"274",4442,20000,2045
"275",4547,1e+05,2045
"276",4578,20000,2045
"277",4618,60000,2045
"278",4619,20000,2045
"279",4622,80000,2045
"280",4838,80000,2045
"281",4856,20000,2045
"282",4900,20000,2045
"283",4916,37053.1806719831,2045
"284",5004,20000,2045
"285",5050,20000,2045
"286",5055,18382.8427634754,2045
"287",5101,280000,2045
"288",5110,40000,2045
"289",5111,140000,2045
"290",5112,254937.974454965,2045
"291",5113,20000,2045
"292",5122,20000,2045
"293",5130,20000,2045
"294",5134,20000,2045
"295",5135,60000,2045
"296",5138,120000,2045
"297",5139,20000,2045
"298",5140,40000,2045
"299",5141,40000,2045
"300",5142,20000.000000001,2045
"301",5144,20000,2045
"302",5146,11183.5587488635,2045
"303",5147,20000,2045
"304",5148,60000,2045
"305",5152,14622.4974713301,2045
"306",5157,20000,2045
"307",5158,20000,2045
"308",5160,20000,2045
"309",5162,40000,2045
"310",5183,16331.0037478988,2045
"311",5194,20000,2045
"312",5195,620000,2045
"313",5199,20000,2045
"314",5205,6228.9499276691,2045
"315",5206,108517.571527299,2045
"316",5260,20000,2045
"317",5273,20000,2045
"318",5310,20000,2045
"319",5317,12384.4050564188,2045
"320",5325,23922.4618523858,2045
"321",5334,49910.3052826246,2045
"322",5359,20000,2045
"323",5393,20000,2045
"324",5409,20000,2045
"325",5446,40000,2045
"326",5447,20000,2045
"327",5464,20000,2045
"328",5482,20000,2045
"329",5517,40000,2045
"330",5518,20000,2045
"331",5519,20000,2045
"332",5520,16689.2149901698,2045
"333",5523,60000,2045
"334",5538,40000,2045
"335",5544,20000,2045
"336",5560,20000,2045
"337",5579,8403.4374242424,2045
"338",5581,34403.0336417628,2045
"339",5586,20000,2045
"340",5594,40000,2045
"341",5600,15972.3022278548,2045
"342",5601,76379.3138345381,2045
"343",5604,40000,2045
"344",5606,20000,2045
"345",5608,60000,2045
"346",5609,20000,2045
"347",5611,20000,2045
"348",5614,60000,2045
"349",5615,17164.5896290499,2045
"350",5616,20000,2045
"351",5621,120000,2045
"352",5624,25907.2794651911,2045
"353",5633,20000,2045
"354",5634,20000,2045
"355",5636,120000,2045
"356",5657,15000,2045
"357",5661,20000,2045
"358",5664,11303.3637283126,2045
"359",5665,20000,2045
"360",5668,140000,2045
"361",5669,1e+05,2045
"362",5670,20000,2045
"363",5671,20000,2045
"364",5675,10947.49099716,2045
"365",5680,40000,2045
"366",5681,40000,2045
"367",5690,20000,2045
"368",5692,18320.0097496,2045
"369",5693,20000,2045
"370",5698,20000.000000001,2045
"371",5706,20000,2045
"372",5734,20000,2045
"373",5738,20000,2045
"374",5770,20000,2045
"375",5785,20000,2045
"376",5786,20000,2045
"377",5800,20000,2045
"378",5805,20000,2045
"379",5844,80000,2045
"380",5878,20000,2045
"381",5900,20000,2045
"382",5905,581.602746107194,2045
"383",5908,20000,2045
"384",5921,80000,2045
"385",5924,20000,2045
"386",5926,20000,2045
"387",5930,20000,2045
"388",5946,20000,2045
"389",6010,20000.000000001,2045
"390",6012,20000,2045
"391",6013,20000,2045
"392",6023,20000,2045
"393",6024,20000,2045
"394",6099,18492.9847619343,2045
"395",6100,20000,2045
"396",6101,20000,2045
"397",6102,40000,2045
"398",6103,24401.810510919,2045
"399",6104,20000,2045
"400",6105,40000,2045
"401",6108,13799.6800800794,2045
"402",6133,19836.1802084907,2045
"403",6136,20000,2045
"404",6201,20000,2045
"405",6202,20000,2045
"406",6205,20000,2045
"407",6237,31349.3918036381,2045
"408",6252,20000,2045
"409",6256,20000,2045
"410",6264,40000,2045
"411",6292,20000,2045
"412",6354,20000,2045
"413",6390,22413.9246526711,2045
"414",6518,160000,2045
"415",6532,20000,2045
"416",6561,20000,2045
"417",6566,20000,2045
"418",6567,20000,2045
"419",6569,20000,2045
"420",6577,20000,2045
"421",6826,20000,2045
"422",6834,20000,2045
"423",6836,20000,2045
"424",6840,40000,2045
"425",6906,20000,2045
