"","i","TAZ12","value","year","dailyCapacity","hourlyCapacity","cost"
"1",1,116,1,2050,500,324,1262491
"2",1,158,1,2050,500,324,1262491
"3",1,161,1,2050,500,324,1262491
"4",1,163,1,2050,500,324,1262491
"5",1,171,1,2050,500,324,1262491
"6",1,172,1,2050,500,324,1262491
"7",1,227,1,2050,500,324,1262491
"8",1,228,1,2050,500,324,1262491
"9",1,246,1,2050,500,324,1262491
"10",1,247,1,2050,500,324,1262491
"11",1,248,1,2050,500,324,1262491
"12",1,256,1,2050,500,324,1262491
"13",1,257,1,2050,500,324,1262491
"14",1,258,1,2050,500,324,1262491
"15",1,276,1,2050,500,324,1262491
"16",1,345,1,2050,500,324,1262491
"17",1,414,1,2050,500,324,1262491
"18",1,420,1,2050,500,324,1262491
"19",1,803,1,2050,500,324,1262491
"20",1,887,1,2050,500,324,1262491
"21",1,906,1,2050,500,324,1262491
"22",1,1944,1,2050,500,324,1262491
"23",1,2309,1,2050,500,324,1262491
"24",1,2522,1,2050,500,324,1262491
"25",1,2530,1,2050,500,324,1262491
"26",1,2572,1,2050,500,324,1262491
"27",1,2739,1,2050,500,324,1262491
"28",1,2772,1,2050,500,324,1262491
"29",1,2897,1,2050,500,324,1262491
"30",1,2904,1,2050,500,324,1262491
"31",1,2915,1,2050,500,324,1262491
"32",1,2923,1,2050,500,324,1262491
"33",1,2934,1,2050,500,324,1262491
"34",1,2947,1,2050,500,324,1262491
"35",1,3000,1,2050,500,324,1262491
"36",1,3008,1,2050,500,324,1262491
"37",1,3014,1,2050,500,324,1262491
"38",1,3018,1,2050,500,324,1262491
"39",1,3019,1,2050,500,324,1262491
"40",1,3021,1,2050,500,324,1262491
"41",1,3022,1,2050,500,324,1262491
"42",1,3030,1,2050,500,324,1262491
"43",1,3034,1,2050,500,324,1262491
"44",1,3362,1,2050,500,324,1262491
"45",1,5199,1,2050,500,324,1262491
"46",2,130,1,2050,750,324,1649413
"47",2,251,1,2050,750,324,1649413
"48",2,331,1,2050,750,324,1649413
"49",2,2551,1,2050,750,324,1649413
"50",2,6101,1,2050,750,324,1649413
"51",3,208,1,2050,1000,324,1896504
"52",3,244,1,2050,1000,324,1896504
"53",3,2489,1,2050,1000,324,1896504
"54",3,2543,1,2050,1000,324,1896504
"55",3,3004,1,2050,1000,324,1896504
"56",3,3029,1,2050,1000,324,1896504
"57",3,3303,1,2050,1000,324,1896504
"58",3,3363,1,2050,1000,324,1896504
"59",4,122,1,2050,1500,324,2509117.08
"60",4,124,1,2050,1500,324,2509117.08
"61",4,170,1,2050,1500,324,2509117.08
"62",4,226,1,2050,1500,324,2509117.08
"63",4,242,1,2050,1500,324,2509117.08
"64",4,280,1,2050,1500,324,2509117.08
"65",4,888,1,2050,1500,324,2509117.08
"66",4,895,1,2050,1500,324,2509117.08
"67",4,1319,1,2050,1500,324,2509117.08
"68",4,2510,1,2050,1500,324,2509117.08
"69",4,2532,1,2050,1500,324,2509117.08
"70",4,2602,1,2050,1500,324,2509117.08
"71",4,2713,1,2050,1500,324,2509117.08
"72",4,2931,1,2050,1500,324,2509117.08
"73",4,3003,1,2050,1500,324,2509117.08
"74",4,3013,1,2050,1500,324,2509117.08
"75",4,3100,1,2050,1500,324,2509117.08
"76",4,3211,1,2050,1500,324,2509117.08
"77",4,3213,1,2050,1500,324,2509117.08
"78",4,3300,1,2050,1500,324,2509117.08
"79",4,3321,1,2050,1500,324,2509117.08
"80",4,3385,1,2050,1500,324,2509117.08
"81",4,3628,1,2050,1500,324,2509117.08
"82",5,235,1,2050,3000,540,4397993.4
"83",5,2507,1,2050,3000,540,4397993.4
"84",5,2714,1,2050,3000,540,4397993.4
"85",5,3010,1,2050,3000,540,4397993.4
"86",5,3012,1,2050,3000,540,4397993.4
"87",5,3364,1,2050,3000,540,4397993.4
"88",5,3377,1,2050,3000,540,4397993.4
"89",6,273,1,2050,5000,648,5947404.11
"90",6,278,1,2050,5000,648,5947404.11
"91",6,309,1,2050,5000,648,5947404.11
"92",6,415,1,2050,5000,648,5947404.11
"93",6,2518,1,2050,5000,648,5947404.11
"94",6,3020,1,2050,5000,648,5947404.11
"95",6,3216,1,2050,5000,648,5947404.11
"96",6,5600,1,2050,5000,648,5947404.11
"97",6,5665,1,2050,5000,648,5947404.11
"98",7,202,1,2050,7500,648,7781636
"99",7,219,1,2050,7500,648,7781636
"100",7,742,1,2050,7500,648,7781636
"101",7,836,1,2050,7500,648,7781636
"102",7,935,1,2050,7500,648,7781636
"103",7,947,1,2050,7500,648,7781636
"104",7,1316,1,2050,7500,648,7781636
"105",7,2520,1,2050,7500,648,7781636
"106",7,2742,1,2050,7500,648,7781636
"107",7,2914,1,2050,7500,648,7781636
"108",7,3252,1,2050,7500,648,7781636
"109",7,3301,1,2050,7500,648,7781636
"110",7,3324,1,2050,7500,648,7781636
"111",7,3921,1,2050,7500,648,7781636
"112",7,5625,1,2050,7500,648,7781636
"113",8,226,1,2050,10000,1080,9652630
"114",8,310,1,2050,10000,1080,9652630
"115",8,2332,1,2050,10000,1080,9652630
"116",8,2509,1,2050,10000,1080,9652630
"117",8,2949,1,2050,10000,1080,9652630
"118",8,3246,1,2050,10000,1080,9652630
"119",8,4547,1,2050,10000,1080,9652630
"120",8,5182,1,2050,10000,1080,9652630
"121",9,109,1,2050,15000,1080,12624651
"122",9,129,1,2050,15000,1080,12624651
"123",9,162,1,2050,15000,1080,12624651
"124",9,165,1,2050,15000,1080,12624651
"125",9,308,1,2050,15000,1080,12624651
"126",9,425,1,2050,15000,1080,12624651
"127",9,439,1,2050,15000,1080,12624651
"128",9,455,1,2050,15000,1080,12624651
"129",9,705,1,2050,15000,1080,12624651
"130",9,716,1,2050,15000,1080,12624651
"131",9,1385,1,2050,15000,1080,12624651
"132",9,2315,1,2050,15000,1080,12624651
"133",9,2545,1,2050,15000,1080,12624651
"134",9,2566,1,2050,15000,1080,12624651
"135",9,2726,1,2050,15000,1080,12624651
"136",9,2736,1,2050,15000,1080,12624651
