TAZ12,Lon,Lat,i,value,year,dailyCapacity,hourlyCapacity,cost
"109",-123.755197379477,41.1541477436378,"1","1","2025","500","324",1262491
"116",-124.056933434818,40.4424556590573,"1","1","2025","500","324",1262491
"122",-120.592987698823,40.8639250224093,"1","1","2025","500","324",1262491
"129",-121.098611154994,41.596157910438,"1","1","2025","500","324",1262491
"130",-120.50537088862,41.5761323329595,"1","1","2025","500","324",1262491
"156",-122.359142806701,40.9950928788783,"3","1","2025","1000","324",1896504
"157",-121.997793569239,40.8695228215215,"1","1","2025","500","324",1262491
"158",-121.513203795865,40.6729642834579,"1","1","2025","500","324",1262491
"161",-122.041755606452,41.7974598413151,"1","1","2025","500","324",1262491
"162",-122.475503414042,41.8891099632226,"1","1","2025","500","324",1262491
"163",-123.335680907067,41.7447460048882,"1","1","2025","500","324",1262491
"164",-123.020229747748,41.4013733776321,"1","1","2025","500","324",1262491
"166",-122.435598978743,41.4823758663718,"1","1","2025","500","324",1262491
"169",-121.813996666238,41.4130876781861,"1","1","2025","500","324",1262491
"170",-122.778672438376,40.9218877079846,"1","1","2025","500","324",1262491
"171",-123.26194366533,40.8849612994346,"1","1","2025","500","324",1262491
"172",-123.242836035237,40.4876323079403,"1","1","2025","500","324",1262491
"219",-121.332130179713,39.6408160566063,"1","1","2025","500","324",1262491
"226",-121.777392301415,39.4185001197963,"1","1","2025","500","324",1262491
"227",-122.01186113245,39.0017575662403,"1","1","2025","500","324",1262491
"235",-122.046855323628,39.6714882878186,"1","1","2025","500","324",1262491
"242",-122.516642598164,38.8210081514369,"1","1","2025","500","324",1262491
"244",-122.863790704433,39.2897206648043,"1","1","2025","500","324",1262491
"246",-123.214005860486,39.7678225150764,"1","1","2025","500","324",1262491
"247",-123.696780822889,39.7797722225828,"1","1","2025","500","324",1262491
"248",-123.638358068746,39.4549754829463,"1","1","2025","500","324",1262491
"251",-123.31842823481,39.358752302385,"1","1","2025","500","324",1262491
"256",-123.528879752079,39.1619536853695,"1","1","2025","500","324",1262491
"257",-123.511530514922,38.9071458741385,"1","1","2025","500","324",1262491
"258",-123.198119488288,38.9628393576288,"1","1","2025","500","324",1262491
"273",-121.003790813055,39.8816399405759,"1","1","2025","500","324",1262491
"276",-121.235650122588,40.2722854949641,"1","1","2025","500","324",1262491
"277",-120.516014343013,39.580688669977,"1","1","2025","500","324",1262491
"278",-121.808539266908,40.1955332495693,"1","1","2025","500","324",1262491
"280",-122.330292053655,40.2721818766048,"1","1","2025","500","324",1262491
"308",-121.621730964904,38.8940215276172,"2","1","2025","750","324",1649413
"309",-121.800555761586,39.1532217658689,"1","1","2025","500","324",1262491
